# be wary of 's etc, must show the  that tokenizer would use
# there are no items in this file, only base



table: ~roles(^actor ^title)
if (! ^pos(NOUN ^title lowercaseexist))
{
	createfact(^title star ^actor)
	if (! ^pos(NOUN ^title lowercaseexist))
	{
		^addproperty(^title NOUN_TITLE)
Ben_Johnson_Actor The_Wild_Bunch
Tony_Randall Will_Success_Spoil_Rock_Hunter
Evelyn_Preer Within_Our_Gates
Fay_Bainter Woman_Of_The_Year
Anthony_Dawson Dial_M_For_Murder
Art_Garfunkel Boxing_Helena
Felix_Bressart Blossoms_In_The_Dust
Edward_Everett_Horton Here_Comes_Mr_Jordan
Paulette_Goddard Hold_Back_The_Dawn
Gene_Lockhart One_Foot_In_Heaven
Walter_Brennan Sergeant_York
Leslie_Howard_Actor 49th_Parallel
Maria_Ouspenskaya Kings_Row
Anne_Baxter The_Pied_Piper
Dan_Duryea The_Pride_Of_The_Yankees
Greer_Garson Random_Harvest
Rex_Ingram_Actor The_Talk_Of_The_Town
William_Bendix Wake_Island
Charles_Coburn Heaven_Can_Wait
Celia_Johnson In_Which_We_Serve
Henry_Travers Madame_Curie
Charles_Coburn The_More_The_Merrier
Vincent_Price The_Song_Of_Bernadette
George_Coulouris Watch_On_The_Rhine
Joseph_Cotten Since_You_Went_Away
Tia_Carrere Waynes_World
Georgia_Engel The_Mary_Tyler_Moore_Show
James_Gandolfini The_Sopranos
Philip_Pope Radio_Active_Radio_Series
Gene_Kelly Anchors_Aweigh
Bing_Crosby The_Bells_Of_St_Marys
Charles_Coburn Bachelor_Mother
Henry_Rollins Johnny_Mnemonic
Leslie_Banks Henry_V
Claude_Jarman_Jr The_Yearling
David_Niven The_Bishops_Wife
William_Frawley Miracle_On34th_Street
Agnes_Moorehead Johnny_Belinda
Celeste_Holm The_Snake_Pit
Thelma_Ritter A_Letter_To_Three_Wives
Elizabeth_Taylor Father_Of_The_Bride
John_Russell_Actor Rio_Bravo
Max_Schreck Nosferatu
Franco_Columbu Pumping_Iron
Robert_Carradine Lizzie_Mc_Guire
Hildegard_Knef Decision_Before_Dawn
Rachel_True The_Craft
Dawn_Wells Gilligans_Island
Jon_Lovitz News_Radio
Maitland_Ward Boy_Meets_World
Kiefer_Sutherland Stand_By_Me
Chuck_Barris The_Gong_Show
Charlie_O_Donnell The_Gong_Show
Rupert_Everett Shakespeare_In_Love
Brian_Andrews_Actor Halloween
Burt_Lancaster Separate_Tables
Edie_Mc_Clurg Ferris_Buellers_Day_Off
Dave_Madden The_Partridge_Family
Jim_Cummings The_Lion_King
Arturo_Rivera China_O_Brien
Frank_Mc_Hugh Dodge_City
Derek_Fowlds Yes_Minister
Sheila_Fearn The_Likely_Lads
Brigit_Forsyth Whatever_Happened_To_The_Likely_Lads
Maximilian_Schell A_Bridge_Too_Far
Dianne_Wiest Practical_Magic
Leslie_Cheung A_Better_Tomorrow
Yasuo_Yamada The_Castle_Of_Cagliostro
Anne_Ramsey The_Goonies
Ricki_Lake Ricki_Lake_Talk_Show
Meryl_Streep Out_Of_Africa
Klaus_Maria_Brandauer Out_Of_Africa
Asbjorn_Bear_Riis The13th_Warrior
Arthur_English Are_You_Being_Served
Tea_Leoni Flirting_With_Disaster
Randee_Heller The_Karate_Kid
Maggie_Mc_Namara Three_Coins_In_The_Fountain
Jennifer_Jones_Actor Love_Is_A_Many_Splendored_Thing
Marjorie_Main Friendly_Persuasion
Robert_Webber 12_Angry_Men
Elsa_Lanchester Witness_For_The_Prosecution
Donald_Wolfit Room_At_The_Top
Peter_Ustinov The_Sundowners
Willem_Dafoe Heavens_Gate
William_Shatner Judgment_At_Nuremberg
Willie_Nelson Wag_The_Dog
Jenny_Funnell As_Time_Goes_By
Mark_Paul_Gosselaar Saved_By_The_Bell
Christine_Baranski Cruel_Intentions
Roseanne_Barr Roseanne
Terry_Mc_Govern_Actor Darkwing_Duck
Katherine_Soucie The_Tigger_Movie
Stephen_Root Office_Space
Alex_Barris Front_Page_Challenge
Gordon_Sinclair Front_Page_Challenge
Edith_Evans Tom_Jones
Lilia_Skala Lilies_Of_The_Field
Alec_Guinness Doctor_Zhivago
Martin_Balsam A_Thousand_Clowns
Agnes_Moorehead The_Swan
Hugo_Myatt Knightmare
Vivien_Merchant Alfie
Jonathan_Winters The_Russians_Are_Coming_The_Russians_Are_Coming
Mako_Actor The_Sand_Pebbles
Denise_Nicholas In_The_Heat_Of_The_Night
Richard_Attenborough Doctor_Dolittle
Geraldine_Fitzgerald Rachel_Rachel
Jennifer_Garner Pearl_Harbor
Karl_Michael_Vogler Patton
Tony_Lo_Bianco The_French_Connection
Bruno_Kirby This_Is_Spinal_Tap
David_Letterman Late_Night_With_David_Letterman
Alan_Kalter Late_Show_With_David_Letterman
Tuesday_Weld Falling_Down
David_Caruso Hudson_Hawk
Eddie_Griffin John_Q
Eric_Balfour Kids_Incorporated
Jennifer_Love_Hewitt Kids_Incorporated
Nicolas_Cage The_Family_Man
Don_Cheadle The_Family_Man
Max_Von_Sydow The_Emigrants
Monica_Zetterlund The_Emigrants
Mary_Barclay A_Touch_Of_Class
William_Holden The_Towering_Inferno
Chris_Sarandon Dog_Day_Afternoon
Gail_Strickland Bound_For_Glory
Quinn_Cummings The_Goodbye_Girl
Naveen_Andrews The_English_Patient
Julia_Roberts Michael_Collins
Takashi_Shimura Throne_Of_Blood
Bruce_Dern Coming_Home
Dyan_Cannon Heaven_Can_Wait
Irene_Miracle Midnight_Express
Jane_Alexander Kramer_Vs_Kramer
Pat_Hingle Norma_Rae
Steve_Martin Dead_Men_Dont_Wear_Plaid
Brandon_Dog Punky_Brewster
Cedric_Hardwicke Things_To_Come
Jerry_Lawler Man_On_The_Moon
Dolph_Lundgren Rocky_I_V
Dana_Ashbrook Girlfriend_From_Hell
R_L_Ryan Class_Of_Nuke_Em_High
R_L_Ryan The_Toxic_Avenger
Kelly_Macdonald Trainspotting
Goldie_Hawn Death_Becomes_Her
Bette_Midler What_Women_Want
Orlando_Bloom Black_Hawk_Down
Elizabeth_Mc_Govern Ordinary_People
Sissy_Spacek Coal_Miners_Daughter
Wendy_Hiller The_Elephant_Man
Leigh_Lawson Tess
Burt_Lancaster Atlantic_City
Michel_Piccoli Atlantic_City
Milo_O_Shea The_Verdict
Antonio_Esfandiari I_Bet_You
Frances_Bavier The_Andy_Griffith_Show
Peter_Robbins_Actor A_Charlie_Brown_Christmas
Paul_Frees Mister_Magoos_Christmas_Carol
Harry_Morgan Dragnet_Series
John_Lithgow Terms_Of_Endearment
Wilford_Brimley Tender_Mercies
Amy_Madigan Places_In_The_Heart
C_C_H_Pounder Prizzis_Honor
Philip_Bosco Children_Of_A_Lesser_God
Gary_Farmer Dead_Man
Robert_Morley Topkapi
Michel_Blanc Uranus
Walter_Matthau Fail_Safe
